,Country,07-08-2020_confirmed,07-08-2020_deaths,07-08-2020_recovered
0,Algeria,17348,978,12329
1,Angola,386,21,117
2,Benin,1199,21,333
3,Burkina Faso,1003,53,861
4,Cabo Verde,1542,18,730
5,Cameroon,14916,359,11525
6,Central African Republic,4109,52,1050
7,Chad,873,74,788
8,Congo (Brazzaville),1821,47,525
9,Congo (Kinshasa),7432,182,3226
10,Cote d'Ivoire,11504,78,5571
11,Djibouti,4889,55,4644
12,Egypt,78304,3564,22241
13,Equatorial Guinea,3071,51,842
14,Eritrea,215,0,56
15,Eswatini,1138,14,588
16,Ethiopia,6774,120,2430
17,Gabon,5871,46,2682
18,Gambia,61,3,27
19,Ghana,22822,129,17564
20,Guinea,5697,34,4577
21,Kenya,8528,169,2593
22,Liberia,926,41,395
23,Madagascar,3573,33,1761
24,Mauritania,5087,139,1994
25,Mauritius,342,10,330
26,Morocco,14771,242,11316
27,Namibia,593,0,25
28,Niger,1097,68,976
29,Nigeria,30249,684,12373
30,Rwanda,1194,3,610
31,Senegal,7657,141,5097
32,Seychelles,91,0,11
33,Somalia,3028,92,1147
34,South Africa,224665,3602,106842
35,Sudan,10084,636,5074
36,Tanzania,509,21,183
37,Togo,695,15,475
38,Tunisia,1221,50,1050
39,Uganda,977,0,904
40,Zambia,1895,42,1348
41,Zimbabwe,885,9,206
42,Mozambique,1071,8,337
43,Libya,1268,36,306
44,Guinea-Bissau,1790,25,760
45,Mali,2358,120,1597
46,Botswana,314,1,31
47,Burundi,191,1,118
48,Sierra Leone,1584,63,1122
49,Malawi,1864,24,345
50,South Sudan,2021,38,333
51,Western Sahara,10,1,8
52,Sao Tome and Principe,724,13,283
53,Comoros,313,7,272
54,Lesotho,91,0,11
