Country/Region,Date,Confirmed,Deaths,Recovered
South Africa,09-10-2020,644438,15265,573003
Egypt,09-10-2020,100557,5590,81597
Morocco,09-10-2020,79767,1491,61850
Ethiopia,09-10-2020,62578,974,23640
Nigeria,09-10-2020,55829,1075,43810
Algeria,09-10-2020,47488,1591,33562
Ghana,09-10-2020,45313,283,44188
Kenya,09-10-2020,35603,612,22047
Libya,09-10-2020,20939,339,2420
Cameroon,09-10-2020,20009,415,18837
Cote d'Ivoire,09-10-2020,18869,119,17884
Madagascar,09-10-2020,15624,208,14295
Senegal,09-10-2020,14150,293,10207
Sudan,09-10-2020,13437,833,6730
Zambia,09-10-2020,13214,300,11899
Congo (Kinshasa),09-10-2020,10343,262,9533
Guinea,09-10-2020,9946,63,9100
Namibia,09-10-2020,9256,96,4767
Gabon,09-10-2020,8621,53,7618
Zimbabwe,09-10-2020,7453,222,5635
Mauritania,09-10-2020,7222,161,6758
Tunisia,09-10-2020,5882,99,1862
Malawi,09-10-2020,5655,176,3683
Djibouti,09-10-2020,5394,61,5327
Eswatini,09-10-2020,4994,98,4103
Equatorial Guinea,09-10-2020,4990,83,4479
Congo (Brazzaville),09-10-2020,4891,83,3887
Mozambique,09-10-2020,4832,31,2857
Central African Republic,09-10-2020,4747,62,1825
Cabo Verde,09-10-2020,4557,43,3993
Rwanda,09-10-2020,4479,22,2352
Uganda,09-10-2020,4291,48,1998
Somalia,09-10-2020,3371,97,2738
Gambia,09-10-2020,3330,100,1460
Angola,09-10-2020,3217,130,1277
Mali,09-10-2020,2909,128,2269
South Sudan,09-10-2020,2555,49,1290
Guinea-Bissau,09-10-2020,2275,39,1127
Botswana,09-10-2020,2252,10,546
Benin,09-10-2020,2242,40,1793
Sierra Leone,09-10-2020,2069,72,1622
Togo,09-10-2020,1537,37,1145
Burkina Faso,09-10-2020,1486,56,1123
Liberia,09-10-2020,1315,82,1194
Niger,09-10-2020,1178,69,1099
Lesotho,09-10-2020,1164,31,528
Chad,09-10-2020,1051,79,932
Sao Tome and Principe,09-10-2020,901,15,866
Tanzania,09-10-2020,509,21,183
Burundi,09-10-2020,469,1,374
Comoros,09-10-2020,456,7,415
Mauritius,09-10-2020,361,10,335
Eritrea,09-10-2020,361,0,304
Seychelles,09-10-2020,137,0,127
Western Sahara,09-10-2020,10,1,8
