Country/Region,Lat,Lon
Algeria,28.0339,1.6596
Angola,-11.2027,17.8739
Benin,9.3077,2.3158
Botswana,-22.3285,24.6849
Burkina Faso,12.2383,-1.5616
Burundi,-3.3731,29.9189
Cabo Verde,16.5388,-23.0418
Cameroon,3.848,11.5021
Central African Republic,6.6111,20.9394
Chad,15.4542,18.7322
Comoros,-11.6455,43.3333
Congo (Brazzaville),-0.228,15.8277
Congo (Kinshasa),-4.0383,21.7587
Cote d'Ivoire,7.54,-5.5471
Djibouti,11.8251,42.5903
Egypt,26.820553000000004,30.802498
Equatorial Guinea,1.6508,10.2679
Eritrea,15.1794,39.7823
Eswatini,-26.5225,31.4659
Ethiopia,9.145,40.4897
Gabon,-0.8037,11.6094
Gambia,13.4432,-15.3101
Ghana,7.9465,-1.0232
Guinea,9.9456,-9.6966
Guinea-Bissau,11.8037,-15.1804
Kenya,-0.0236,37.9062
Lesotho,-29.61,28.2336
Liberia,6.4280550000000005,-9.429499
Libya,26.3351,17.228331
Madagascar,-18.766947,46.869107
Malawi,-13.2543,34.3015
Mali,17.570692,-3.996166000000001
Mauritania,21.0079,-10.9408
Mauritius,-20.348404,57.552152
Morocco,31.7917,-7.0926
Mozambique,-18.665695,35.529562
Namibia,-22.9576,18.4904
Niger,17.607789,8.081666
Nigeria,9.082,8.6753
Rwanda,-1.9403,29.8739
Sao Tome and Principe,0.1864,6.6131
Senegal,14.4974,-14.4524
Seychelles,-4.6796,55.492
Sierra Leone,8.460555000000001,-11.779889
Somalia,5.152149,46.199616
South Africa,-30.5595,22.9375
South Sudan,6.877000000000002,31.307
Sudan,12.8628,30.2176
Tanzania,-6.369028,34.888822
Togo,8.6195,0.8248
Tunisia,33.886917,9.537499
Uganda,1.373333,32.290275
Zambia,-13.133897,27.849332
Zimbabwe,-19.015438,29.154857
