Country/Region,2020_estimates
Algeria,43851
Angola,32866
Benin,12123
Botswana,2352
Burkina Faso,20903
Burundi,11891
Cabo Verde,556
Cameroon,26546
Central African Republic,4830
Chad,16426
Comoros,870
Congo (Brazzaville),5518
Cote d'Ivoire,26378
Congo (Kinshasa),89561
Djibouti,988
Egypt,102334
Equatorial Guinea,1403
Eritrea,3546
Eswatini,1160
Ethiopia,114964
Gabon,2226
Gambia,2417
Ghana,31073
Guinea,13133
Guinea-Bissau,1968
Kenya,53771
Lesotho,2142
Liberia,5058
Libya,6871
Madagascar,27691
Malawi,19130
Mali,20251
Mauritania,4650
Mauritius,1272
Morocco,36911
Mozambique,31255
Namibia,2541
Niger,24207
Nigeria,206140
Rwanda,12952
Sao Tome and Principe,219
Senegal,16744
Seychelles,98
Sierra Leone,7977
Somalia,15893
South Africa,59309
South Sudan,11194
Sudan,43849
Togo,8279
Tunisia,11819
Uganda,45741
Tanzania,59734
Zambia,18384
Zimbabwe,14863
